日期,前一天涨幅,cum_return_5d,cum_return_20d,rsi_14,close_above_ma5,close_above_ma20,close_above_ma60,plus_di_14,minus_di_14,adx_14,bb_upper_20_2,bb_middle_20_2,bb_lower_20_2,is_above_bb_upper,is_below_bb_lower,atr_14,ma_volume_5,volume_up_strong,volume_down_strong,obv,consecutive_up_days,consecutive_down_days,consecutive_up_2d,consecutive_down_2d,consecutive_up_3d,consecutive_down_3d,consecutive_up_4d,consecutive_down_4d,consecutive_up_5d,consecutive_down_5d,consecutive_up_6d,consecutive_down_6d,consecutive_up_7d,consecutive_down_7d,price_slope_5d,ma20_slope_5d,price_ma20_slope_ratio,prev_close_above_ma5
2021/12/27,0.79,0.048479065,0.033815937,60.70574127,1,1,1,0,0,0,16608.0648,16089.28,15570.4952,0,0,309.4883825,181594000,0,0,1.11038E+11,4,0,1,0,1,0,1,0,0,0,0,0,0,0,153.208,-9.8466,-15.55948246,1
2021/12/28,1.59,0.055095971,0.005452692,52.74569785,1,1,1,0,0,0,16625.17081,16093.751,15562.33119,0,0,288.0499315,166364000,0,0,1.10902E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172.204,0.5046,341.2683314,1
2021/12/29,-0.48,0.031572699,0.022006182,51.66560416,1,1,1,0,0,0,16671.79966,16111.5055,15551.21134,0,0,270.011274,150998000,0,0,1.11035E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.946,8.0025,12.61430803,1
2021/12/30,0.01,0.015386764,0.034726648,55.1401388,0,1,1,0,0,0,16705.1645,16139.0745,15572.9845,0,0,254.6097708,142844000,0,0,1.10909E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,49.792,14.7821,3.368398265,1
2021/12/31,-0.38,0.000727854,0.020594393,49.77510678,0,1,1,0,0,0,16722.62319,16155.5405,15588.45781,0,0,240.3098014,138936000,0,1,1.10765E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2.374,18.6713,0.127147012,0
2022/1/3,-0.66,-0.003967406,0.050262728,58.13084765,1,1,1,0,0,0,16741.69474,16195.027,15648.35926,0,0,234.6004945,147936000,0,1,1.10964E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.146,21.1494,-0.621577917,0
2022/1/4,1.11,-0.012671133,0.027361203,56.92973959,0,1,1,0,0,0,16738.96455,16216.7055,15694.44645,0,0,251.5817619,168876000,1,0,1.10723E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-41.786,24.5909,-1.699246469,1
2022/1/5,-1.35,-0.043614066,-0.033927572,40.63826556,0,0,0,0,0,0,16744.62176,16189.011,15633.40024,0,0,286.8228603,193742000,0,1,1.10466E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-143.848,15.5011,-9.279857558,0
2022/1/6,-3.12,-0.040400265,-0.03836568,47.89931725,0,0,0,0,0,0,16735.01196,16157.562,15580.11204,0,0,287.5171456,214604000,0,1,1.10236E+11,0,3,0,1,0,1,0,0,0,0,0,0,0,0,-132.748,3.6975,-35.90209601,0
2022/1/7,-0.04,-0.044600884,-0.034513612,45.74147257,0,0,0,0,0,0,16760.13614,16129.693,15499.24986,0,0,290.2748595,228214000,0,0,1.10023E+11,0,4,0,1,0,1,0,1,0,0,0,0,0,0,-145.578,-5.1695,28.160944,0
